"state","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post"
"AK",-0.444023875382152,-1.14904793171372,3.98126463700234,13.5897435897436,-0.998003992015968,12.0792079207921,3.07840307840308,13.3363370128407,6.14973262032086,-2.97766749379653,3.07692307692308,12.0364238410596,6.58,6.46,2.53,2.05,0.6,0.25,10.85,2.12
"AL",1.57818947000955,1.2242444892435,7.59493670886076,15.450643776824,7.74058577405858,10.6941838649156,4.19047619047619,16.3920208152645,11.0629067245119,3.78787878787879,5.37992235163616,13.5411343893715,8.37,8.17,6.59,5.58,0.88,0.55,13.95,1.02
"AR",1.52778010699492,2.30936854867779,10,16.0869565217391,5.34351145038168,3.81944444444444,4.12087912087912,13.9930034982509,8.87290167865707,5.80645161290323,5.36933581626319,11.2848209209778,9.74,9.49,5.47,4.38,0.96,0.56,12.23,0.68
"AZ",4.47358243588981,4.47911283677146,10.1910828025478,16.5016501650165,9.40695296523517,10.2189781021898,5.4372197309417,19.55,7.56646216768916,0.184842883548983,5.82846003898636,16.6222222222222,10.39,8.01,5.22,3.73,0.59,0.26,13.03,0.98
"CA",1.56707107761514,1.8671320282216,11.4035087719298,19.8142414860681,7.53424657534247,11.6772823779193,4.6303074670571,17.0857733379263,7.15935334872979,1.29310344827586,4.70756062767475,15.5146557600545,8.7,7.9,4.89,3.35,0.58,0.24,9.63,0.81
"CO",3.31244767331947,3.6085503596968,8.21529745042493,17.6119402985075,4.75161987041037,10.183299389002,9.05697445972495,19.047619047619,6.67808219178082,-0.475435816164818,7.94740686632578,16.8063924548074,6.46,6.03,3.41,2.82,0.41,0.26,10.07,0.64
"CT",0.522780642029727,2.12196434011057,7.77479892761394,16.0919540229885,4.44444444444444,9.16230366492147,1.31610433117971,9.40409683426443,8.8339222614841,2.23285486443381,1.66496772001359,8.2886805090422,7.06,6.72,3.14,2.37,1.77,0.8,9.48,0.88
"DC",1.2549417866599,-0.066171605029042,12.7551020408163,26.6304347826087,2.6578073089701,14.0243902439024,4.22036082474227,20.1870268665578,8.40064620355412,-6.10294117647059,4.82341787153354,17.2688982487253,6.53,7.94,9.79,10.93,0.75,0.34,7.67,0.86
"DE",4.06748266626618,4.82281599393595,7.97546012269939,15.4340836012862,6.10526315789474,8.10810810810811,2.68729641693811,9.57473898650369,8.58676207513417,0.940438871473354,3.55871886120996,8.96686159844054,8.56,7.67,5.51,4.48,1.73,0.73,11,2.03
"FL",3.82954135066811,4.79663417759941,13.3738601823708,17.9640718562874,8.46774193548387,14.15770609319,10.5088495575221,17.9174484052533,7.0362473347548,3.11284046692607,9.1705069124424,15.2749490835031,10.54,9.37,5.82,4.23,1.47,0.44,12.65,0.79
"GA",2.51149090822713,3.681442010274,10.8626198083067,16.7202572347267,7.22433460076046,10.6086956521739,5.66037735849057,14.8762918885061,10.2222222222222,1.05124835742444,6.39845923389685,12.5733281188893,8.33,8.42,6.32,4.96,0.97,0.45,13.45,0.89
"HI",1.58246777965088,1.33522727272727,11.139896373057,15.7608695652174,7.3972602739726,8.97097625329815,2.70665691294806,11.3407433136506,7.08215297450425,5.67567567567568,4.29956442321203,10.8651911468813,7.17,6.48,4.09,2.88,0.71,0.44,14.29,0.91
"IA",0.868100041153222,1.77110774878841,8.16326530612245,16.4556962025316,5.94965675057208,6.11814345991561,4.39381611065907,12.8243700639338,3.49514563106796,-1.51228733459357,4.67625899280576,10.4347826086957,6.98,6.52,2.89,2.57,0.68,0.43,13.05,1.28
"ID",5.45416747100664,4.9492541380015,6.93430656934307,15.9090909090909,6.96629213483146,12.6530612244898,10.1062117798519,24.6564268391269,6.35593220338983,-1.02249488752556,9.07715582450832,20.9504054308882,6.83,5.6,2.88,2.26,0.47,0.23,10.29,0.53
"IL",0.358141010660632,1.25557856166795,8.94568690095847,17.9054054054054,6.60146699266504,6.99774266365688,3.30469266358229,12.41768579492,6.79785330948122,0,4.02890299978104,10.4389834068473,6.62,6.65,4.51,3.86,1.27,0.62,9.79,0.73
"IN",1.2264247792802,1.81339688802805,8,15.3526970954357,8.51581508515815,11.231101511879,6.61990355107409,14.7356143079316,4.54545454545455,-2.44821092278719,6.34238108035474,12.4846701005641,7.04,6.72,5.2,4.72,1.03,0.56,12.85,1.02
"KS",0.870958571317809,2.03000432999669,5.39568345323741,15.7088122605364,4.75,7.00934579439252,2.70038576939563,12.2743682310469,4.52830188679245,0.178890876565295,3.7513397642015,10.0303951367781,6.42,6.51,3.4,2.9,0.73,0.41,11.33,0.92
"KY",0.921320432307709,1.71220009661317,8.7719298245614,16.1434977578475,8.99470899470899,10.0702576112412,1.49925037481259,12.6954921803128,7.32758620689655,0.386847195357834,3.71360665478313,11.0835401157982,7.82,7.3,5,4.01,1.02,0.52,15.66,0.68
"LA",-0.232091331075147,0.133954968107206,10.2459016393443,18.5185185185185,7.20720720720721,9.10569105691057,8.30931796349664,14.6796775562155,11.1553784860558,2.7681660899654,8.2244008714597,12.2733953944145,8.62,8.23,6.94,5.44,1.5,0.95,14.72,1.36
