"State","gdp_pre","gdp_post"
"AL",220899.033333333,231523.966666667
"AK",52802.6666666667,50851.3333333333
"AZ",346358,390097.333333333
"AR",125824.6,135121.733333333
"CA",2853709.86666667,3090505.53333333
"CO",366379.733333333,401819.833333333
"CT",274561.1,269859.933333333
"DE",71679.9333333333,74771.0333333333
"DC",137088.433333333,141778.933333333
"FL",1050071.53333333,1160056.23333333
"GA",601740.966666667,637812.6
"HI",88376,83712.1333333333
"ID",77243.8333333333,88196.9
"IL",847454.1,847541.666666667
"IN",365601.966666667,382063.366666667
"IA",188280.5,196351.9
"KS",168544.266666667,172769.766666667
"KY",207095.733333333,213646.133333333
"LA",243908.466666667,234548.2
"ME",64855.1,70529.8333333333
"MD",401567.2,404047.366666667
"MA",548572.766666667,587909.9
"MI",514343.2,525331.866666667
"MN",363046.333333333,373383.433333333
"MS",110554.666666667,114185
"MO",315595.1,328855.3
"MT",49396.3333333333,52826.3333333333
"NE",125444.066666667,133705.233333333
"NV",169289.1,179671.466666667
"NH",82629.1,88172.6666666667
"NJ",605223.3,626640.166666667
"NM",96543.1,100613.866666667
"NY",1664783.93333333,1719369.73333333
"NC",557119.6,594752.966666667
"ND",58151.7,56085.9333333333
"OH",660821.133333333,680326.7
"OK",196213.766666667,193211.4
"OR",233212.533333333,247937.566666667
"PA",763341.966666667,760416.9
"RI",59223.1,60438.0333333333
"SC",231874.066666667,244635.566666667
"SD",52021.0333333333,54515.4666666667
"TN",362659.533333333,394192.666666667
"TX",1740197.46666667,1868489
"UT",182313.866666667,207546.533333333
"VT",32918.8,33575.7333333333
"VA",527987.566666667,560159.366666667
"WA",559249.833333333,621094.466666667
"WV",76580.3666666667,75835.6333333333
"WI",327992,332244.166666667
"WY",38058.2,37052.4
NA,1062749.03333333,1110416.73333333
NA,3643726.93333333,3727262.2
NA,2716211.33333333,2767390.96666667
NA,1271087,1315765.86666667
NA,4316275.06666667,4596529.36666667
NA,2379307.23333333,2552749.23333333
NA,713370.333333333,787476.333333333
NA,3956565,4273420.86666667
