"State","zhvi_pre_avg","zhvi_post_avg","zhvi_pre_change","zhvi_post_change"
"AL",148993.081950132,192427.054881567,9.76454600498572,27.9529387731433
"AK",292350.696267725,335028.274781675,7.65602580037523,12.3438479578244
"AZ",252522.357580118,368418.482240068,14.9725802282429,49.3575385599312
"AR",140966.090084305,175351.85403676,7.82526138517244,26.0803478051977
"CA",521016.145243099,663241.35116136,12.6943125826167,31.2887201997403
"CO",375678.347305684,486205.454694234,12.6436926316006,32.7712922907543
"CT",251600.271222075,305413.603525929,3.62792178289272,28.0491639763207
"DE",262137.423096837,318745.47777223,5.5796510324329,27.9101975639957
"DC",560796.544309981,633071.824760506,8.25277819225385,7.84374609578353
"FL",228291.168954666,308955.85508985,13.2294210786497,45.573396434329
"GA",188339.331845159,261365.050099737,16.6461952022879,42.2949956422254
"HI",593503.445882138,718359.455201395,6.91201606744027,31.95726932018
"ID",247238.934067571,401877.351553458,24.7228883699189,52.3024430567207
"IL",187282.669422442,220835.046632162,7.2411405409933,20.8663579408521
"IN",144725.219183378,191702.277905535,14.5517011120379,30.5057400903652
"IA",149105.232264934,180023.326379904,9.34098793342632,20.9503521627068
"KS",142074.206938121,180837.308504081,10.0398848855612,26.2330910492566
"KY",132741.853866835,169828.474453775,11.9546960037743,25.3550146552596
"LA",175241.426959907,198783.22141084,4.75942558730543,10.8776411424027
"ME",219927.779197854,302859.037455082,11.8566945521953,38.938833202059
"MD",303319.379097117,363543.254241158,7.10499349841115,20.1526278364153
"MA",405311.242596694,500873.043630656,9.24913417317159,25.6150421068455
"MI",156501.049117192,201957.230385849,14.5456498505109,26.4686221199372
"MN",236583.483413175,294272.225348639,12.3836281030659,22.1314438842933
"MS",131690.276452219,158752.492239869,6.00912649666757,22.8269707726525
"MO",156273.200324369,201237.104558233,10.9469480119018,29.4674659963454
"MT",251050.678037948,358089.584309055,11.694180632525,50.5729665817886
"NE",167522.547338665,213033.733857884,12.1593740527478,25.3790418657002
"NV",276015.594911005,370587.342121136,22.1437428077231,39.5370545991212
"NH",267161.328744327,358061.586250645,11.5731222876822,36.4223202834563
"NJ",333121.282766245,413220.501446734,8.40915431856425,25.4101632099892
"NM",185132.336146997,242458.254023878,9.44897372531296,31.9804400618115
"NY",322200.59777369,394437.793749602,12.0158905641811,20.8236236923161
"NC",192076.951904272,261734.739701711,13.3097099793073,39.7659974662041
"ND",219517.123395648,239411.989057133,-0.751119809723693,12.1331704979139
"OH",142626.063169545,183811.555909647,12.8087619326543,26.1453744784101
"OK",130763.927262929,166650.490612974,8.03062945762375,29.2029713483084
"OR",342495.33405535,441907.160949045,11.1099415755518,30.912951163206
"PA",178461.758740937,222739.917849044,9.23474231729649,23.3400527812553
"RI",278149.724783159,357945.644496749,10.7814596308026,30.1873083949026
"SC",179379.85845659,236254.640952894,11.3691138599343,36.0009012915344
"SD",195796.438074348,250946.154343573,9.94246431586196,31.4167825380267
"TN",183493.236818854,252114.187712944,14.8284465935326,38.7852264480571
"TX",202621.394188331,261238.286186634,11.0671362915504,35.0576495545216
"UT",313318.381722107,450890.832623366,17.9159906792525,43.8869416192009
"VT",254412.984662899,320137.687379295,7.05270872431312,31.0159365756241
"VA",263366.568146199,323448.840082563,7.57398847915428,23.6860178208885
"WA",374074.415943011,512271.569597817,16.1603659481883,35.2907460206128
"WV",112725.209950006,135630.082700402,5.75725165175861,23.3163093350946
"WI",191799.488650598,244416.675730412,13.0355419424619,24.1217113251084
"WY",238267.049537211,290388.768177379,6.20070680963137,21.8706882853713
