"State","zhvi_pre_avg","zhvi_post_avg","zhvi_pre_change","zhvi_post_change","gdp_pre","gdp_post","income_pre","income_post","pce_pre","pce_post","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post","unemp_pre","unemp_post"
"AL",148993.081950132,192427.054881567,9.76454600498572,27.9529387731433,220899.033333333,231523.966666667,41430,49332.6666666667,170014.4,196804.066666667,4154213.33333333,4254586.66666667,2446.66666666667,2463.33333333333,4963.33333333333,5593.33333333333,21340,24903.3333333333,4883.33333333333,5403.33333333333,36946.6666666667,41600,7.92666666666667,8.61333333333334,6.16333333333333,5.86333333333333,1.01,0.536666666666667,14.17,4.76333333333333,3.875,4.08333333333333
"AK",292350.696267725,335028.274781675,7.65602580037523,12.3438479578244,52802.6666666667,50851.3333333333,58667,65455.3333333333,35958.9666666667,39427.2333333333,548546.666666667,542960,4353.33333333333,4133.33333333333,4963.33333333333,5353.33333333333,42133.3333333333,47363.3333333333,3913.33333333333,3976.66666666667,58676.6666666667,63996.6666666667,6.25,7.27666666666667,2.41,2.50333333333333,0.633333333333333,0.283333333333333,10.1866666666667,3.90333333333333,6.1,6.31388888888889
"AZ",252522.357580118,368418.482240068,14.9725802282429,49.3575385599312,346358,390097.333333333,45423.3333333333,55958,273181.1,333781.166666667,5490880,5851186.66666667,3303.33333333333,3206.66666666667,5146.66666666667,5766.66666666667,36663.3333333333,43786.6666666667,5106.66666666667,5436.66666666667,52883.3333333333,60646.6666666667,9.93333333333333,9.44666666666667,4.84666666666667,4.20666666666667,0.703333333333333,0.26,12.7266666666667,4.84666666666667,4.86111111111111,5.52777777777778
"AR",140966.090084305,175351.85403676,7.82526138517244,26.0803478051977,125824.6,135121.733333333,42723.6666666667,51757,101608.4,117945.7,2401913.33333333,2466320,2413.33333333333,2450,5380,5910,18470,21406.6666666667,4346.66666666667,4806.66666666667,32986.6666666667,37110,9.15333333333333,10.1533333333333,4.94333333333333,4.77,1.01666666666667,0.57,13.6133333333333,4.74333333333333,3.62777777777778,4.45555555555555
"CA",521016.145243099,663241.35116136,12.6943125826167,31.2887201997403,2853709.86666667,3090505.53333333,61139,74564.3333333333,1849793.83333333,2139168.06666667,31425146.6666667,32285453.3333333,3613.33333333333,3476.66666666667,4556.66666666667,4970,55910,62960,4500,4683.33333333333,71786.6666666667,78800,8.43333333333333,9.12666666666667,4.22333333333333,3.99333333333333,0.623333333333333,0.25,9.70666666666667,3.57666666666667,4.39444444444444,7.26944444444444
"CO",375678.347305684,486205.454694234,12.6436926316006,32.7712922907543,366379.733333333,401819.833333333,57750.6666666667,70963.6666666667,261948.466666667,313687.4,4507560,4745360,3673.33333333333,3590,4746.66666666667,5136.66666666667,53220,64133.3333333333,6083.33333333333,6300,71226.6666666667,82536.6666666667,6.31666666666667,6.70333333333333,3.16,3.06666666666667,0.42,0.246666666666667,10.5766666666667,4.01333333333333,2.76944444444444,5.13333333333333
"CT",251600.271222075,305413.603525929,3.62792178289272,28.0491639763207,274561.1,269859.933333333,71827.3333333333,81082.6666666667,182523.733333333,203649.066666667,3053480,3117913.33333333,3873.33333333333,3710,3680,4013.33333333333,42036.6666666667,44873.3333333333,5903.33333333333,6340,59343.3333333333,61970,6.86666666666667,7.36,2.83,2.64666666666667,1.87,0.936666666666667,9.55,3.46666666666667,3.96388888888889,6.16666666666667
"DE",262137.423096837,318745.47777223,5.5796510324329,27.9101975639957,71679.9333333333,74771.0333333333,52148.3333333333,59668.6666666667,44168.8666666667,50647.2666666667,814513.333333333,864366.666666667,3373.33333333333,3293.33333333333,4880,5406.66666666667,37306.6666666667,41056.6666666667,5900,6353.33333333333,54293.3333333333,58733.3333333333,8.44333333333334,8.37,4.99666666666667,4.71333333333333,1.93333333333333,0.703333333333333,10.3266666666667,4.18333333333333,3.88055555555555,5.71388888888889
"DC",560796.544309981,633071.824760506,8.25277819225385,7.84374609578353,137088.433333333,141778.933333333,81838,96202.6666666667,47614.6333333333,52676.0333333333,554366.666666667,542720,4173.33333333333,4126.66666666667,3036.66666666667,3546.66666666667,63403.3333333333,74540,13040,12936.6666666667,86520,98320,5.99666666666667,7.74666666666667,8.54,10.4633333333333,0.916666666666667,0.29,8.33666666666667,3.22666666666667,5.78055555555556,6.5
"FL",228291.168954666,308955.85508985,13.2294210786497,45.573396434329,1050071.53333333,1160056.23333333,51042.6666666667,60982.6666666667,925570.133333333,1114739.5,18325880,19415060,3500,3576.66666666667,5180,5976.66666666667,28480,34773.3333333333,4883.33333333333,5240,45360,52646.6666666667,9.87333333333333,10.6566666666667,5.17,4.86,1.47333333333333,0.613333333333333,11.7833333333333,4.38,3.72222222222222,5.26666666666667
"GA",188339.331845159,261365.050099737,16.6461952022879,42.2949956422254,601740.966666667,637812.6,46663,54910.6666666667,398828.966666667,468771.533333333,8503073.33333333,8924933.33333333,3290,3316.66666666667,5460,6063.33333333333,29403.3333333333,34270,7146.66666666667,7666.66666666667,48273.3333333333,54203.3333333333,7.87666666666667,8.95,5.92333333333333,5.39666666666667,1.00333333333333,0.443333333333333,13.13,4.86666666666667,4.125,4.55277777777778
"HI",593503.445882138,718359.455201395,6.91201606744027,31.95726932018,88376,83712.1333333333,52000,60189.3333333333,64049.6,71517.2333333333,1111413.33333333,1134493.33333333,4070,3896.66666666667,3810,3963.33333333333,55273.3333333333,60763.3333333333,3696.66666666667,3793.33333333333,72663.3333333333,78203.3333333333,6.53666666666667,7.38333333333333,3.71333333333333,3.38333333333333,1.03333333333333,0.453333333333333,11.1233333333333,6.72666666666667,2.38055555555556,6.98888888888889
"ID",247238.934067571,401877.351553458,24.7228883699189,52.3024430567207,77243.8333333333,88196.9,43443.6666666667,53999.6666666667,59861.3666666667,75122.4333333333,1382100,1504566.66666667,2833.33333333333,2773.33333333333,4606.66666666667,5203.33333333333,32546.6666666667,41640,4930,4906.66666666667,48333.3333333333,58420,6.57333333333333,6.56666666666667,2.49,2.41,0.54,0.233333333333333,11.2866666666667,3.75333333333333,2.98055555555556,4
"IL",187282.669422442,220835.046632162,7.2411405409933,20.8663579408521,847454.1,847541.666666667,55623.6666666667,65502,558868.466666667,627578.766666667,10531293.3333333,10631906.6666667,3260,3170,4223.33333333333,4600,30826.6666666667,33770,5786.66666666667,6070,46663.3333333333,49890,6.32666666666667,7.2,4.14333333333333,4.07,1.43333333333333,0.68,9.67666666666667,3.80333333333333,4.44166666666667,6.67222222222222
"IN",144725.219183378,191702.277905535,14.5517011120379,30.5057400903652,365601.966666667,382063.366666667,46464.3333333333,55952.3333333333,251360,291369.5,5489500,5602093.33333333,2590,2540,4280,4896.66666666667,23336.6666666667,27440,5216.66666666667,5260,38176.6666666667,43033.3333333333,6.66333333333333,7.24666666666667,4.79333333333333,4.76666666666667,1.08,0.553333333333333,13.5166666666667,4.81,3.425,4.78055555555556
"IA",149105.232264934,180023.326379904,9.34098793342632,20.9503521627068,188280.5,196351.9,48404.6666666667,57443.6666666667,119766.433333333,134375.333333333,2585900,2627046.66666667,2543.33333333333,2526.66666666667,4510,4896.66666666667,25196.6666666667,28210,5260,5263.33333333333,39923.3333333333,43413.3333333333,6.45666666666667,6.94333333333333,2.6,2.65,0.746666666666667,0.386666666666667,12.3466666666667,4.76666666666667,2.77777777777778,3.96388888888889
"KS",142074.206938121,180837.308504081,10.0398848855612,26.2330910492566,168544.266666667,172769.766666667,50236.3333333333,58808.6666666667,111071.866666667,125217.666666667,2329046.66666667,2377153.33333333,2846.66666666667,2776.66666666667,4103.33333333333,4430,23660,26523.3333333333,5440,5616.66666666667,38053.3333333333,41433.3333333333,6.11,6.75,3.19666666666667,3.06666666666667,0.796666666666667,0.43,12.51,4.64666666666667,3.36666666666667,3.98055555555556
"KY",132741.853866835,169828.474453775,11.9546960037743,25.3550146552596,207095.733333333,213646.133333333,41842.3333333333,50478.6666666667,160233.766666667,183980.233333333,3688593.33333333,3757740,2363.33333333333,2370,3950,4500,20053.3333333333,23083.3333333333,4830,5186.66666666667,34193.3333333333,38150,7.43666666666667,7.87,4.66666666666667,4.35333333333333,1.16,0.563333333333333,15.6466666666667,5.64,4.34444444444444,4.99166666666666
"LA",175241.426959907,198783.22141084,4.75942558730543,10.8776411424027,243908.466666667,234548.2,45322,53580.6666666667,171785.466666667,193674.733333333,3819260,3820766.66666667,2553.33333333333,2610,5753.33333333333,6456.66666666667,21650,25330,5320,5870,38206.6666666667,43280,8.15333333333333,8.72333333333333,6.40666666666667,5.93666666666667,1.60666666666667,0.88,14.35,5.05,4.86111111111111,5.98611111111111
"ME",219927.779197854,302859.037455082,11.8566945521953,38.938833202059,64855.1,70529.8333333333,47872.3333333333,58361,60739.4666666667,70963.5333333333,1194680,1235520,2846.66666666667,2720,4496.66666666667,5160,26506.6666666667,30473.3333333333,5350,5530,42683.3333333333,47120,6.19333333333333,6.35333333333333,2.77333333333333,2.60333333333333,1.76333333333333,0.763333333333333,9.17666666666667,3.13666666666667,3.15,4.23055555555555
"MD",303319.379097117,363543.254241158,7.10499349841115,20.1526278364153,401567.2,404047.366666667,59961,68295,272378.8,299305.4,5093033.33333333,5202106.66666667,3936.66666666667,3826.66666666667,5233.33333333333,5696.66666666667,51520,56076.6666666667,6636.66666666667,7010,71146.6666666667,76086.6666666667,7.08,7.60333333333333,4.67333333333333,4.48,1.44333333333333,0.606666666666667,10.2833333333333,3.54666666666667,3.75277777777778,4.89444444444444
"MA",405311.242596694,500873.043630656,9.24913417317159,25.6150421068455,548572.766666667,587909.9,69213.6666666667,82295,368982.633333333,413192.9,5734406.66666667,5885306.66666667,3616.66666666667,3423.33333333333,3903.33333333333,4030,46890,53203.3333333333,6100,6283.33333333333,64416.6666666667,70400,6.81333333333333,7.47333333333333,2.37333333333333,2.15333333333333,1.07666666666667,0.443333333333333,7.25333333333333,2.47666666666667,3.44722222222222,6.08611111111111
