"State","zhvi_pre_avg","zhvi_post_avg","zhvi_pre_change","zhvi_post_change"
"AL",148993.081950132,192427.054881567,0.0976454600498572,0.279529387731433
"AK",292350.696267725,335028.274781675,0.0765602580037523,0.123438479578244
"AZ",252522.357580118,368418.482240068,0.149725802282429,0.493575385599312
"AR",140966.090084305,175351.85403676,0.0782526138517244,0.260803478051977
"CA",521016.145243099,663241.35116136,0.126943125826167,0.312887201997403
"CO",375678.347305684,486205.454694234,0.126436926316006,0.327712922907543
"CT",251600.271222075,305413.603525929,0.0362792178289272,0.280491639763207
"DE",262137.423096837,318745.47777223,0.055796510324329,0.279101975639957
"DC",560796.544309981,633071.824760506,0.0825277819225385,0.0784374609578353
"FL",228291.168954666,308955.85508985,0.132294210786497,0.45573396434329
"GA",188339.331845159,261365.050099737,0.166461952022879,0.422949956422254
"HI",593503.445882138,718359.455201395,0.0691201606744027,0.3195726932018
"ID",247238.934067571,401877.351553458,0.247228883699189,0.523024430567207
"IL",187282.669422442,220835.046632162,0.072411405409933,0.208663579408521
"IN",144725.219183378,191702.277905535,0.145517011120379,0.305057400903652
"IA",149105.232264934,180023.326379904,0.0934098793342632,0.209503521627068
"KS",142074.206938121,180837.308504081,0.100398848855612,0.262330910492566
"KY",132741.853866835,169828.474453775,0.119546960037743,0.253550146552596
"LA",175241.426959907,198783.22141084,0.0475942558730543,0.108776411424027
"ME",219927.779197854,302859.037455082,0.118566945521953,0.38938833202059
"MD",303319.379097117,363543.254241158,0.0710499349841115,0.201526278364153
"MA",405311.242596694,500873.043630656,0.0924913417317159,0.256150421068455
"MI",156501.049117192,201957.230385849,0.145456498505109,0.264686221199372
"MN",236583.483413175,294272.225348639,0.123836281030659,0.221314438842933
"MS",131690.276452219,158752.492239869,0.0600912649666757,0.228269707726525
"MO",156273.200324369,201237.104558233,0.109469480119018,0.294674659963454
"MT",251050.678037948,358089.584309055,0.11694180632525,0.505729665817886
"NE",167522.547338665,213033.733857884,0.121593740527478,0.253790418657002
"NV",276015.594911005,370587.342121136,0.221437428077231,0.395370545991212
"NH",267161.328744327,358061.586250645,0.115731222876822,0.364223202834563
"NJ",333121.282766245,413220.501446734,0.0840915431856425,0.254101632099892
"NM",185132.336146997,242458.254023878,0.0944897372531295,0.319804400618115
"NY",322200.59777369,394437.793749602,0.120158905641811,0.208236236923161
"NC",192076.951904272,261734.739701711,0.133097099793073,0.397659974662041
"ND",219517.123395648,239411.989057133,-0.00751119809723693,0.121331704979139
"OH",142626.063169545,183811.555909647,0.128087619326543,0.261453744784101
"OK",130763.927262929,166650.490612974,0.0803062945762375,0.292029713483084
"OR",342495.33405535,441907.160949045,0.111099415755518,0.30912951163206
"PA",178461.758740937,222739.917849044,0.0923474231729649,0.233400527812553
"RI",278149.724783159,357945.644496749,0.107814596308026,0.301873083949026
"SC",179379.85845659,236254.640952894,0.113691138599343,0.360009012915344
"SD",195796.438074348,250946.154343573,0.0994246431586196,0.314167825380267
"TN",183493.236818854,252114.187712944,0.148284465935326,0.387852264480571
"TX",202621.394188331,261238.286186634,0.110671362915504,0.350576495545216
"UT",313318.381722107,450890.832623366,0.179159906792525,0.43886941619201
"VT",254412.984662899,320137.687379295,0.0705270872431312,0.310159365756241
"VA",263366.568146199,323448.840082563,0.0757398847915428,0.236860178208885
"WA",374074.415943011,512271.569597817,0.161603659481883,0.352907460206128
"WV",112725.209950006,135630.082700402,0.0575725165175861,0.233163093350946
"WI",191799.488650598,244416.675730412,0.130355419424619,0.241217113251084
"WY",238267.049537211,290388.768177379,0.0620070680963137,0.218706882853713
