"State","unemp_pre","unemp_post"
"Alabama",3.875,4.08333333333333
"Alaska",6.1,6.31388888888889
"Arizona",4.86111111111111,5.52777777777778
"Arkansas",3.62777777777778,4.45555555555555
"California",4.39444444444444,7.26944444444444
"Colorado",2.76944444444444,5.13333333333333
"Connecticut",3.96388888888889,6.16666666666667
"Delaware",3.88055555555555,5.71388888888889
"District of Columbia",5.78055555555556,6.5
"Florida",3.72222222222222,5.26666666666667
"Georgia",4.125,4.55277777777778
"Hawaii",2.38055555555556,6.98888888888889
"Idaho",2.98055555555556,4
"Illinois",4.44166666666667,6.67222222222222
"Indiana",3.425,4.78055555555556
"Iowa",2.77777777777778,3.96388888888889
"Kansas",3.36666666666667,3.98055555555556
"Kentucky",4.34444444444444,4.99166666666666
"Louisiana",4.86111111111111,5.98611111111111
"Maine",3.15,4.23055555555555
"Maryland",3.75277777777778,4.89444444444444
"Massachusetts",3.44722222222222,6.08611111111111
"Michigan",4.275,6.64444444444444
"Minnesota",3.24722222222222,4.15277777777778
"Mississippi",5.21388888888889,5.71388888888889
"Missouri",3.41944444444444,4.31944444444445
"Montana",3.775,3.95
"Nebraska",2.99444444444444,3.00555555555555
"Nevada",4.50833333333333,8.56666666666667
"New Hampshire",2.66388888888889,4.21388888888889
"New Jersey",3.99722222222222,6.675
"New Mexico",5.33888888888889,6.35277777777778
"New York",4.21111111111111,7.09444444444444
"North Carolina",4.14444444444445,5.29722222222222
"North Dakota",2.38055555555555,3.39722222222222
"Ohio",4.51111111111111,5.825
"Oklahoma",3.48055555555555,4.45
"Oregon",3.94166666666667,5.55
"Pennsylvania",4.55,6.28611111111111
"Rhode Island",4.01666666666667,6.03055555555556
"South Carolina",3.44166666666667,4.375
"South Dakota",2.84166666666667,2.85833333333333
"Tennessee",3.52222222222222,5.10277777777778
"Texas",3.93333333333333,5.75555555555556
"Utah",2.87222222222222,3.32222222222222
"Vermont",2.51666666666667,3.87222222222222
"Virginia",3.11666666666667,4.34722222222222
"Washington",4.41111111111111,5.98333333333333
"West Virginia",5.08888888888889,5.77777777777778
"Wisconsin",3.16388888888889,4.34444444444445
"Wyoming",4.04722222222222,4.61388888888889
"Puerto Rico",9.45833333333333,7.53529411764706
